From	To
P18146	1958
Q9Y5L4	26517
O96005	1209
Q9BSQ5	83605
Q9UHF5	27190
Q02818	4924
Q06323	5720
Q9H3Q1	23580
O60218	57016
Q7Z4G4	60487
P50591	8743
Q9H061	84233
Q8N4A0	100528030
Q8N4A0	8693
A6NCS4	137814
Q8TER0	25992
O15551	1365
Q8IYS4	146562
Q9HAJ7	79685
Q13454	7991
P31512	2329
Q8N7Q3	163223
P62847	6229
Q68BL7	169611
Q8IVF4	196385
Q9Y6A4	29105
Q5T4B2	51148
Q8WYR1	23533
Q8NHC8	254879
Q8TF62	79895
P62841	6209
Q9UNA1	23092
Q9HB90	64121
P29966	4082
Q9BXU0	56158
P08476	3624
O60925	5201
Q70CQ2	9736
P10600	7043
Q53EU6	84803
Q8N4E7	94033
O60763	8615
Q969N2	51604
Q6IA86	55250
Q00266	4143
Q6P1Q0	25875
Q8N8N7	145482
P63173	6169
Q14154	9812
O75191	9942
P40238	4352
Q7Z7F7	128308
Q14527	6596
Q96SE0	84696
P13671	729
P09067	3215
O76090	7439
Q9Y5Y2	10101
Q9UMR3	57057
P56705	54361
Q5VWJ9	401548
Q2TB18	28990
O14949	27089
P45974	8078
Q8WUY8	57106
A0A0A0MTK1	10520
Q9H2X6	28996
Q9NZN8	4848
Q5JY77	9737
A8MVW5	253012
Q9HD23	57380
Q8TEU7	51735
P47755	830
Q96PD6	116255
Q6IS14	143244
Q5VT98	645425
P57052	54033
Q14520	3026
Q9Y697	9054
Q8IZU1	171482
Q9Y3A4	27341
Q14919	10589
Q03923	7639
Q9NS69	56993
Q16206	10495
Q9H267	26276
O94941	22888
P01562	3439
P01562	3447
Q9C0F0	80816
O15375	9121
Q9UGN4	11314
A0A0A0MRK5	387103
Q6ZUI0	285386
Q5H9R4	100131755
P43121	4162
Q9UGK8	26297
Q8NGY2	81448
A0PJX2	140711
Q8N159	162417
Q8IVS8	132158
Q8NHW4	388372
Q8NHW4	9560
P17041	7580
P55055	7376
Q9HAE3	79645
Q6PIY5	339541
Q92930	51762
Q9C0G6	1768
Q9NR83	56731
P57057	54020
Q14137	23246
Q14165	9761
Q6IC98	23151
Q9C0J1	79369
P20718	2999
Q14916	6568
P12318	2212
P0C6C1	390616
Q9BUF5	84617
O00444	10733
Q9BXF3	27443
Q9UQR1	7707
Q9Y6D9	8379
A6ND48	401994
Q9UBL9	22953
Q9Y2Q5	28956
Q9Y2J4	51421
Q8IYR6	100526694
Q8IYR6	8577
Q7RTS3	256297
Q6PEV8	139231
Q8WXD0	122042
Q53GI3	84124
Q86SZ2	122553
Q9Y6G1	28978
P78324	140885
Q5SY80	257044
Q9C0D3	79699
Q8TE82	54436
P10412	3008
P35523	1180
Q96EY9	113179
Q96EL3	116540
P01133	1950
O95139	4712
Q8WWI5	23446
P81605	117159
Q9BXS4	9528
Q9Y286	27036
P54368	4946
Q9NR12	9260
A6NIK2	390205
Q96T25	85416
Q5HY98	90321
P54750	5136
Q6P1K8	728340
Q6P1K8	730394
Q86XE0	254122
Q2TAC6	124602
Q8WXB1	151194
P09661	6627
Q9P202	25861
P26572	4245
Q96B26	11340
Q96M93	132612
Q9BW92	80222
Q9Y2G5	23275
Q9BYD5	84518
Q6ZRK6	493860
Q719H9	284252
Q9H3L0	27249
Q8IYM0	84070
Q9Y5B9	11198
Q8TCX5	114822
Q13362	5527
Q8NC44	79137
Q13507	7222
Q13506	4664
Q8IYX7	158297
P46782	6193
Q9Y281	1073
Q96GE5	90576
P84090	2079
Q8NFB2	84548
Q9H2U9	8756
Q8TDN1	93107
Q2NL67	56965
Q15723	1998
Q9H159	28513
F8WFD2	642778
Q9BXC0	27198
O75881	9420
P55198	4302
P14784	3560
P02776	5196
P18545	5148
Q9UEW8	27347
O75386	7289
Q9H1Q7	64773
Q8NGF7	219965
Q6W5P4	387129
Q6ZSA7	219527
O15084	23243
Q9HBK9	57412
D6RF30	653125
Q9H875	79706
Q9UKX7	10762
O43707	81
P30989	4923
Q14642	3632
P11047	3915
Q9BX84	140803
P0DKL9	644100
Q3KNT9	339168
Q99624	10991
A0A087WZE9	9324
Q9H2G9	8548
Q2KHR3	79832
Q96P53	115825
Q14669	9320
O00294	7287
Q8NGV0	134083
A6NIJ9	390327
O43182	395
Q9ULZ9	4326
Q53GS7	2733
Q8N6T7	51548
Q01740	2326
O43638	2307
Q8N5P1	84524
P55957	637
Q9BSI4	26277
Q12946	2294
Q96I25	84991
Q6PJT7	79882
Q86VF2	91156
P67775	5515
Q9H115	63908
Q99784	10439
Q8NGH5	120796
O95342	8647
Q16695	8290
Q9Y239	10392
Q6P4A7	119559
Q02297	3084
Q7Z5L2	27291
Q16585	6443
P48553	7109
O95561	92346
Q6Y288	145173
O43866	922
Q9HCK5	192670
Q04695	3872
Q9UIY3	112611
P04085	5154
Q9NR23	9573
Q96PU9	113746
Q3SY84	112802
O95677	2070
Q9BYV1	64902
Q9H2M9	25782
Q9BWW8	80830
Q99622	113246
Q9NXR8	54556
Q6UWV2	196264
Q9GZZ9	79876
Q9UJD0	9783
P04839	1536
Q96FG2	84173
O60333	23095
Q9UBW7	7750
Q14588	10780
P59542	259294
Q8WYR4	89765
Q15637	7536
O14662	8675
P21675	6872
P55196	4301
A2RU48	440087
Q9Y6E2	28969
Q9NY93	54606
P63162	6638
P63162	8926
O00339	4147
O95154	22977
Q9H2C2	64801
Q8WWQ2	60495
Q5T751	353133
Q9Y248	51659
Q15431	6847
Q0P6H9	80021
Q9UKY7	55573
Q8N9Y4	90050
Q9H244	64805
Q8WTT2	64318
Q9UL59	7761
Q6XYB7	85474
Q04671	4948
Q99712	3772
O00330	8050
O15020	6712
O43760	9144
P05113	3567
O43447	10465
P25090	2358
Q9NZD4	51327
Q2TAK8	84939
Q9NSI6	54014
Q9Y210	7225
Q9BVG9	81490
Q9H0I2	84080
Q96HN2	23382
P56962	55014
P36021	6567
Q9Y644	5986
Q9UNA3	51146
Q9HB55	64816
Q8WUG5	51310
P0DMR2	653486
O43903	2620
P62873	2782
Q7KZF4	27044
Q53H82	51110
Q6EIG7	93978
P06744	2821
Q9HBI5	57415
Q9P219	440193
P51800	1187
Q70EL3	373509
Q15334	3996
Q8TAB5	127703
Q24JP5	54972
Q96HD1	78987
P06280	2717
Q8NGG5	390157
P07196	4747
Q96LL4	157773
P14921	2113
P01732	925
Q15544	6882
P22079	4025
Q9NQX1	11107
Q96BK5	54984
O95429	9530
Q9BX69	84674
P57077	56911
Q6PKG0	23367
Q9Y5Q9	9330
Q8IV20	144811
P56278	4515
Q8N196	147912
Q8IV48	90459
Q8TDB6	151636
Q8N7Z2	283767
P60900	5687
Q9H3R1	64579
P46100	546
P39059	1306
O95817	9531
P22415	7391
P29033	2706
P35346	6755
Q7Z614	124460
Q05923	1844
Q9BQ90	116138
A6NM10	653437
Q8IYN0	163227
Q6PRD7	752014
A0PJE2	79758
P37059	3294
Q9H867	79609
Q13423	23530
Q9UMS5	10745
P43626	3802
O15016	9866
Q96QE2	114134
P80188	3934
Q5TGS1	390992
Q6TDP4	339451
Q8N4E4	132954
Q86XE3	286097
B4DH95	474344
Q96MC4	100653515
Q8WU76	152579
Q96A23	131034
Q9NPD7	51299
Q2TAM9	286319
Q8TEK3	84444
Q07108	969
Q9UNK9	23357
Q96JF0	84620
Q14469	3280
Q8TD90	139599
Q8N371	79831
Q8IZQ8	93649
Q9H840	79760
P54710	486
Q5VV16	653427
Q8NH56	390075
Q9UNH6	51375
Q15848	9370
Q96EZ4	26579
Q96IT1	84838
Q8IYW4	150350
Q17RS7	348654
O95359	10579
Q96EK9	112970
P57073	30812
Q8WX77	347252
Q8N612	84067
Q9NYG2	51304
A4D1U4	57189
A4FU49	79729
Q9UFD9	85376
Q13410	696
Q9BYT8	57486
O15078	80184
Q13371	5082
Q7Z7A3	90353
Q495N2	285641
Q7L0X0	9865
O14578	11113
O95361	10626
Q969Q1	84676
Q693B1	147040
Q9NRP4	57001
Q92743	5654
P15056	673
P19387	5432
Q8NGX3	128360
Q96DF8	8220
Q9C0D2	85459
Q6ZVZ8	401036
Q9H6W3	79697
Q9BT09	10695
P31689	3301
O14576	1780
Q8TEY7	23032
Q9BRA2	84817
A6NMS3	403278
Q9BVJ6	10813
P14151	6402
Q8N201	26173
Q9NP90	51209
Q5HYI7	345778
Q96E16	114926
Q9NQW7	7511
Q9UBR1	51733
P26927	4485
Q2PZI1	23333
Q96JC4	90827
Q13637	10981
Q9Y5H8	56145
O00244	475
P11686	6440
Q6P4F2	112812
Q86YV5	157285
Q8NGD2	390431
P46095	2830
P49407	408
Q9UF12	58510
Q9HD43	5794
Q92830	2648
Q96DE5	119504
Q5T089	79906
Q96KN2	84735
Q6L8G4	440051
Q96GM8	114034
Q6P2D0	162239
Q5T764	439996
P29371	6870
P04040	847
Q8IU54	282618
Q92734	10342
Q8IXX5	92703
Q92620	9785
Q9UHF4	53832
Q9H9Q2	64708
Q8NCD3	55355
Q5JTB6	219348
A8MQ14	342892
A6NI73	353514
P09913	3433
P05198	1965
Q9NXF1	54881
Q8TED0	84135
Q9UKP6	2837
Q9P2T0	51298
Q5VU92	139170
A8K8V0	146540
Q86VD9	80235
Q96SZ6	51654
Q5T230	8433
Q8WUA2	85313
P52746	7701
Q9Y646	10404
Q9UPU3	22986
Q8N0V5	2651
P19438	7132
O15075	9201
P41970	2004
Q969G9	85407
A4D161	340277
Q00341	3069
Q68CJ9	84699
Q9BUK0	79145
O00767	6319
Q49MG5	79884
O95389	8838
Q8N693	80712
Q8WVB3	284004
Q6SJ96	387332
Q13286	1201
Q9NX02	55655
O00303	8665
P41587	7434
Q96S79	91608
Q99598	7257
Q9Y6R0	9253
P02748	735
Q9BX66	10580
P0CG38	653269
P31930	7384
Q5T871	149018
O75145	8541
Q8NCH0	113189
Q9BTL3	83640
P17097	7553
O15244	6582
Q9Y2M2	51066
P01024	718
O75925	8554
O94832	4642
O95936	8320
Q6ZVL6	25758
O94776	9219
Q8N8L6	285598
P30542	134
Q8IYS5	126014
Q9Y3B3	100302736
Q9Y3B3	51014
Q92187	7903
Q9NSA1	26291
P27707	1633
Q8N6G6	92949
Q6P5R6	200916
Q5MIZ7	57223
Q96EX2	84900
Q6PHR2	25989
Q6DWJ6	124274
Q9BYZ2	92483
Q6ZN30	54796
P52564	5608
Q14593	10793
Q9NYJ8	23118
Q99680	2845
A5PL33	84626
Q5VXD3	148418
A6NLP5	143941
Q86XP3	11325
Q92956	8764
Q9C075	25984
O15266	6473
P59797	348303
P0C881	222967
Q5BKX8	347273
P36222	1116
Q9UHA3	51187
P18669	5223
Q9C0K1	64116
O15393	7113
Q9H307	5411
Q13683	3679
P49914	10588
Q8IVS2	27349
P04637	7157
Q8IUF1	150472
Q14331	2483
Q8WW59	283377
Q15485	2220
Q5T0D9	127262
Q96DZ5	25999
P28288	5825
P21333	2316
Q9NW64	55696
Q86V81	10189
O60884	10294
O43915	2277
Q15649	9326
Q8WUY9	55789
A0AVI4	92305
Q9BSE4	64224
Q7Z4P5	151449
Q8N427	51314
P00748	2161
Q99417	26292
Q5JST6	80258
P40306	5699
Q8TF44	126567
Q9Y3L3	23616
P02794	2495
Q9BRP8	84305
Q9NPE3	55505
Q99607	2000
Q9UPI3	55640
Q5VSR9	494118
Q5BVD1	79669
Q16649	4783
Q96HA8	55093
Q9H4B0	64172
Q5SQH8	221545
Q9BQS6	94086
Q6PCD5	55159
Q96DN0	121506
P14635	891
O60711	9404
Q92901	6123
Q9BZW5	53346
B9A064	100423062
P41143	4985
O43148	8731
Q5T4S7	23352
Q8WY64	29116
Q14623	3549
Q8NER5	130399
P29377	795
P04908	3012
P04908	8335
Q8IXF0	64067
P49910	7718
P33176	3799
Q9UJH8	79006
Q96JM3	283489
P61106	51552
Q9P0U1	54543
O75129	23245
Q9BRJ6	84310
Q9NWC5	55076
Q6P6C2	54890
Q96JB2	83548
O75071	9813
Q9NRP7	27148
Q96KP6	79931
Q92908	2627
Q8IV76	139135
Q9P2K9	57540
Q8NFM7	54756
Q13049	22954
P01185	551
Q13724	7841
Q11130	2529
Q8NH40	341799
P55157	4547
Q8WV83	80255
P00533	1956
O75182	23309
Q8N543	55239
Q2T9L4	388135
Q6ZVH7	339768
P27635	6134
Q9H7L9	64426
Q99742	4861
Q2TBE0	143884
P14778	3554
Q7L0Y3	54931
P62487	5436
Q9NVW2	51132
O00560	6386
Q9NX74	54920
Q96M96	121512
Q9UNS2	8533
Q8NGI8	390195
Q9ULD2	57509
Q96KB5	55872
Q5TZ20	391211
Q9UQE7	9126
Q9H2F5	80314
P01008	462
Q92874	1775
Q9HC58	57419
P55316	2290
Q8TF64	126326
Q9UPV9	22906
Q16663	6359
Q9UH77	26249
Q6ZTN6	338692
Q8TDM0	55653
Q14D04	79674
Q9NV88	55756
Q2TB90	80201
Q9H7R0	79973
Q9Y2X3	51602
P21462	2357
P31997	1088
Q7Z739	253943
Q9UKN7	51168
P35503	54659
P38936	1026
Q8NCT3	23366
Q9Y2W1	9967
P55318	3171
P35612	119
P28360	4487
Q99469	6769
P40426	5090
Q9UK58	57018
P06731	1048
Q9UQV4	27074
P14210	3082
Q6AWC2	80014
P43155	1384
O75031	11077
Q9H5J8	79101
P32881	3445
Q9NQZ8	58491
O96009	9476
Q07002	5129
Q9UPN7	22870
Q9UK10	7768
O43167	9841
P46934	4734
Q9UBM7	1717
Q6PJG2	91748
P49798	5999
Q9NRW1	51560
Q6UXF7	497190
Q14990	4956
Q5T753	353135
Q9H0C5	53339
P59025	132112
Q765P7	92154
Q15661	7177
Q8N414	79605
P06858	4023
Q9H7T9	79000
P11836	931
P13637	478
P16118	5207
P98160	3339
Q9NZB2	23196
Q86SE9	84333
P41229	8242
P78508	3766
A8MUN0	387267
Q96PE6	114026
Q9NP79	51534
Q9P281	57597
Q9NR00	56892
B1AL88	728215
Q9UN42	23439
Q9UPR6	23217
O95471	1366
P45379	7139
Q04759	5588
Q92823	4897
Q9BX97	83483
P30408	4071
Q5T5N4	168090
Q6YHK3	135228
P50213	3419
Q13489	330
Q6PEW1	170261
Q9UHW9	9990
Q9Y2P5	10998
Q9NUL7	55794
Q9UKQ2	10863
O95816	9532
P04181	4942
Q13627	1859
Q15916	10773
Q9BT67	80762
P02763	5004
Q92870	323
Q15043	23516
Q8N6Y0	83878
Q6IFH4	389090
Q8NFK1	349149
Q14689	23181
O95373	10527
Q9NX47	54708
P56378	9556
Q02880	7155
Q9UPT9	23326
Q11206	6484
O75426	26261
Q9UPZ9	22858
P05423	661
Q8NGA8	81099
Q7Z4S6	55605
Q969J5	116379
P25025	3579
Q8NE62	55349
A8MUZ8	100131980
Q92692	5819
O95613	5116
Q5EBN2	391712
Q6UW15	130120
P60201	5354
P57075	53347
Q99567	4927
P60369	386682
Q8NHG7	258010
Q6UW10	389376
Q9BSD3	83695
P11766	128
Q9BWP8	78989
Q8NE71	23
Q86WB7	54346
Q6ZN11	390927
O00462	4126
Q8NGJ9	401665
Q96PG8	27113
Q9NPC3	57820
P17181	3454
Q7Z5Y6	353500
O15015	9726
Q16676	2297
Q8N9N2	51008
Q701N4	440021
P23511	4800
P13727	5553
Q9H2U1	170506
Q9P127	51213
Q6UXB4	339390
Q9UGF6	81696
O95274	27076
Q14CS0	137886
O15056	8871
Q9ULR5	400961
O43513	9443
O75553	1600
Q9GZX9	57045
P43365	4111
Q5JR12	333926
O75251	374291
Q6ZXV5	160418
Q9UL15	9529
Q9BTX7	79183
A2RUH7	343263
P17858	5211
Q06547	2553
Q9H3Z4	80331
Q96DD0	127495
Q9UK22	26232
Q9Y536	653505
Q96RT1	55914
Q04726	7090
Q8IYR0	154313
Q6P5W5	55630
O15403	9120
Q96TA2	10730
B2RN74	440153
Q14CZ7	79072
Q68CL5	25941
Q63HM2	64430
Q96PD2	131566
Q53SZ7	339779
Q8N4G2	80117
A6H8M9	389118
O75154	9727
P34981	7201
P48551	3455
P37275	6935
Q9NZ71	51750
O15067	5198
Q9Y5X2	29886
Q6UVK1	1464
Q6L8Q7	201626
Q9H4M3	93611
Q9NRD8	50506
Q9C086	83444
Q5TA79	353139
O15194	10217
Q9BWQ6	78992
Q96CN9	79571
P21757	4481
Q9UNE2	9501
Q6P531	124975
Q9UK55	51156
O00483	4697
Q02241	9493
Q13164	5598
Q9NU53	116254
Q8NE22	133383
Q9BVN2	23623
P01019	183
Q6VUC0	339488
P36543	529
Q8N682	55332
Q7Z401	10260
P25208	4801
Q9HD47	29098
P37802	8407
Q96RL1	51720
P09211	2950
A6NGH8	100310846
Q9UPR0	23228
Q8NBV8	90019
P17301	3673
Q15777	744
Q8IYD2	55220
Q8N1N4	196374
O95232	51747
O60503	115
Q86WV1	8631
Q969W8	84924
A0PJK1	125206
O94842	9878
O43678	4695
Q6UXP7	167555
Q9UKP4	11173
Q96BD8	220134
Q9NXP7	54826
P43080	118142757
Q9NYZ1	51030
Q8NH16	26246
O95071	51366
Q53H96	65263
Q8N4V1	93380
Q9HAZ1	57396
Q5VW32	148362
P20936	5921
Q9UFH2	8632
Q15036	9784
Q9H0V1	64418
A8MZ26	285588
Q96GF1	91445
Q15560	6919
Q8NDZ6	153396
Q96RK0	23152
Q9BU89	83475
A6NFN3	146713
K7EIY8	125476
P02533	3861
A6NFY7	644096
P10767	2251
Q6PJF5	79651
Q2M3M2	200010
O95263	8622
Q9Y5I0	56136
Q5U4P2	253982
