From	To
P13073	1327
Q8TAG5	222008
Q86XK3	119392
P01229	3972
Q9BXI3	84618
P98182	7752
Q96SL4	2882
A6NM03	338755
Q53EZ4	55165
Q86WW8	493753
Q86UT6	79671
P29728	4939
Q8WUD6	56994
Q9Y4B5	23255
Q969Z0	9238
O94952	23014
Q9UPX6	23251
P15153	5880
Q9ULJ3	49854
P32929	1491
Q8TF45	147686
Q02325	5342
Q02325	5343
P63146	7320
P18505	2560
O43463	6839
Q96M86	144132
P08833	3484
Q8TD16	23299
Q86YS6	339122
Q8N114	51246
Q96T88	29128
A6NCM1	392843
Q9HCN2	63970
Q9BZK7	79718
Q5HYJ1	253017
Q9P0I2	55831
Q8IY47	25948
P13674	5033
Q14117	1807
Q14249	2021
A9YTQ3	57491
O60281	23036
Q9NUE0	84243
Q6ZQN5	399823
O14579	11316
Q96L94	79856
O96008	10452
Q6NUQ1	60561
Q9NXR7	9577
Q9NRN5	56944
Q8N4Y2	283229
O95202	3954
Q96PV0	8831
Q8IUI8	51379
P78411	10265
Q8IZ73	27079
Q96EF0	55613
Q8NH19	282770
Q6UX98	254359
Q9NUX5	25913
P16444	1800
P78412	79190
O15296	247
Q9NX57	55647
O43663	9055
Q9BW61	79016
O75674	10040
Q7L591	79930
Q6AZW8	285349
Q06546	2551
Q5T2W1	5174
Q9P2D6	57579
Q4V339	644019
P13942	1302
P07357	731
Q6SZW1	23098
Q9Y6X2	10401
O00470	4211
Q13009	7074
A1L390	26030
Q8IZ13	63920
Q9BQE5	23780
P16278	2720
P78356	8396
P51686	10803
Q6A162	125115
H3BR10	100507203
O15205	10537
P14209	4267
Q9NYQ3	51179
Q5VT66	64757
Q4ZG55	9687
Q9UBB9	24144
Q9UBI4	9399
P10243	4603
Q86YR7	23101
Q8IYV9	284359
Q5VW38	57720
P23327	3270
P32926	1830
Q8N8U3	203430
Q9HCL2	57678
Q9BUP0	80303
O75334	8499
Q8TCF1	79752
Q17RM4	84865
Q9H2K2	80351
Q9Y6D5	10564
O43592	11260
Q92966	6619
Q8N5Z5	79734
Q9Y679	550
Q96E17	115827
Q96MU7	91746
Q02221	1339
P58107	83481
Q12766	22993
Q5VWX1	202559
P10606	1329
Q9UJW7	7772
Q8NGZ3	441933
Q9H3S7	25930
P49915	8833
Q9H322	51480
Q8TCB6	143503
P13236	388372
P13236	6351
Q9UHP6	27156
Q96QS1	10077
O15240	7425
Q6PF05	153657
Q9BTY7	51236
O14737	9141
Q96RS0	96764
Q9UIG4	170680
O76009	3883
Q9Y3Z3	25939
O60282	3800
O75390	1431
Q9BRV8	80143
A6NDY0	390748
Q92535	5279
Q8IXB1	54431
A4D1F6	401387
Q15058	9928
Q9H9V4	79845
Q13103	6694
Q8WXH0	23224
Q96S44	112858
O95057	148252
Q96BI1	5002
P48066	6538
Q9NS61	30819
Q96AY2	146956
Q9Y242	6941
P0C7W6	374355
Q5VIY5	90333
Q05215	1961
Q96MW1	124808
Q68DQ2	131544
Q8TDW4	54879
P30990	4922
Q8TAX0	130497
Q9H015	6583
P48047	539
P98073	5651
Q9Y2V3	30062
Q9Y283	27130
Q7RTU0	100129654
P52954	10660
Q12905	3608
Q5VV43	9856
Q16760	8527
Q9H1M4	140850
Q9UQ07	5891
P0DJD8	643834
O43542	7517
Q96SY0	81556
O60512	8703
Q8IXM6	11270
Q6ZMJ2	286133
Q12988	8988
P0DTL6	157542
P0DTL6	50626
P0DTL6	84773
Q7Z4K8	80128
Q9BUU2	79091
Q15811	6453
Q9Y261	3170
Q8IVL8	130749
P43363	4109
P07333	1436
O43143	1665
Q8N3Z3	29083
P18827	6382
Q96DX8	64108
Q15572	9013
Q00722	5330
Q86TJ2	93624
O95455	23483
Q8N5S3	129852
Q9P2D0	25998
P62955	59284
Q9BYD2	65005
Q12792	5756
Q6ZMT1	342667
Q9Y5X3	27131
Q8IVL6	10536
Q86U44	56339
O43826	2542
P41235	3172
Q15573	9015
Q02108	2982
P62861	2197
P51636	858
O15213	9277
Q9H611	80119
Q15911	463
Q96QU6	84680
Q9UI09	55967
Q96PJ5	83417
P14679	7299
Q5T1C6	117145
P56279	8115
Q9H2G2	9748
Q9NYM9	51272
Q969S9	84340
Q6P2C0	56964
P78363	24
P23527	8348
Q9Y2A7	10787
P51532	6597
Q8N456	474354
Q7Z7L1	91607
P31146	11151
Q9Y672	29929
O14879	3437
Q8NGB2	79346
Q96HH6	55266
Q6UB98	23253
Q9H2B4	10861
O94983	23125
Q96LB9	114771
Q9NZC4	26298
Q9NZL6	23179
Q5T4F4	118813
Q01892	6689
Q3KQV3	126375
Q01459	1486
Q9P0J1	54704
O43156	9675
Q00973	2583
Q96IY4	1361
O00151	9124
Q9BWH6	26015
Q6ECI4	388566
O00217	4728
O43364	3199
P55289	1010
Q16720	492
Q86TI0	23216
A6NFY4	100131211
Q8WXA2	160065
Q9UL16	25790
Q8WWZ1	84639
Q9NZA1	53405
O76093	8817
C9JLJ4	100287238
Q8NGX6	343406
P07988	6439
O96000	4716
Q1HG44	405753
Q9NRV9	50865
Q6PI47	130535
Q969Y0	91775
O95221	338674
P0C875	375190
P08173	1132
Q96AJ1	23059
P11168	6514
P17022	7566
A6NI87	646019
Q99558	9020
Q8TC17	400581
O14770	4212
Q9H6R6	64429
Q8N228	256380
Q9Y698	10369
A6NFH5	646486
P63167	8655
O75379	8674
O75312	8882
Q96PU5	23327
Q9UBP9	51454
Q6P9G0	124637
P61927	6167
O95995	2622
P49765	7423
P60228	3646
P59534	259285
Q96K78	84873
O76003	10539
Q2MKA7	284654
Q5T9Z0	127670
Q8WVK7	348235
Q96CN7	51015
Q96NM4	84969
O96011	8799
P23141	1066
Q15365	5093
Q8NB15	118472
P07741	353
P07900	3320
Q9HCK4	6092
Q2TAC2	284001
Q9BRL6	10929
Q13573	22938
O60636	10100
Q9BW66	51550
Q9Y244	51371
Q9C0J8	55339
O95376	10425
Q9Y5K8	51382
Q9H0W7	83591
Q13185	11335
Q9UJ04	23270
O95059	11102
P62140	5500
Q8N687	245938
Q14677	9685
P10828	7068
A1A5C7	63027
Q8N2Q7	22871
Q9BSM1	84759
O14610	2793
P35498	6323
P28065	5698
H3BU77	100500938
P53671	3985
P20941	5132
Q8NC96	25977
Q9H9G7	192669
Q8NC69	200845
Q6UXD1	646962
O60880	4068
P84103	6428
Q07820	4170
Q96HW7	92105
Q9BTW9	6904
Q5JUK2	402381
Q5VZ46	57710
O60551	9397
P46019	5256
Q8IZP7	266722
Q96II8	84859
P43657	10161
Q06210	2673
Q76KD6	375686
Q8TDB4	84709
A6NKF2	138715
P07148	2168
Q7Z2G1	158983
Q9UQ72	5680
Q9NSB2	3890
Q8NEE6	222235
P37088	6337
Q9H6R4	65083
P23284	5479
Q86UT5	79849
Q02223	608
P05062	229
Q96S52	94005
Q9HBM0	55591
Q8ND82	55609
Q9Y4F5	283638
Q9UBF9	9499
Q6P1R3	79684
Q9BZ71	83394
Q86UW9	113878
Q6ZMW2	158431
Q9UF47	85479
Q6ZMN8	645121
O60568	8985
P47756	832
P17023	7567
Q14181	23649
Q9P2Y5	7405
Q8NFA0	84669
O00400	9197
A8MXY4	7652
P83369	134353
Q16610	1893
Q12965	4643
P60410	386681
Q8NCR9	119467
Q6NUT2	283417
Q03135	857
Q7Z304	256691
P15260	3459
O95944	9436
Q6P1M0	10999
Q8WXH6	142684
Q400G9	155185
Q13887	688
P46597	438
Q96BW9	132001
Q01726	4157
Q8N187	79800
Q07812	581
P84101	10169
P32456	2634
Q5TEA3	25943
Q9HAT1	79748
Q86WS4	283461
P16520	2784
O75074	4037
Q86VD7	284439
O00398	27334
Q16512	5585
Q96L33	171177
Q96EL1	389119
Q8TAX9	55876
Q5T3J3	55791
Q8TBZ0	256309
Q8N8D1	10081
Q9Y5A7	51667
O75901	9182
Q86X55	10498
Q9NSD5	6540
Q9H6F2	79041
P46013	4288
P21854	971
O75912	9162
Q8TF21	170961
P51508	347344
Q9NW08	55703
Q9P126	51266
O15382	587
Q8N0W7	158521
Q96B33	137075
Q8N2U0	254863
Q9UBP5	23493
Q96A47	64843
Q6P2Q9	10594
P42356	5297
P43630	3812
Q13813	6709
P35590	7075
Q8NFJ6	128674
Q8NH92	219959
Q01201	5971
Q96FN5	113220
Q8IVL5	55214
Q9UBT7	8727
Q49AH0	441549
O75167	9749
Q562F6	151246
Q9H0A0	55226
O00574	10663
P28290	6744
Q96E52	115209
Q15257	5524
Q8TCT8	84888
Q7Z5D8	360030
P37840	6622
P07478	5645
Q96IS3	84839
Q2TAL6	375567
O75157	9819
Q8NGY6	81442
P46108	1398
Q9BQ89	83541
C9JLW8	348262
Q9Y5Y9	6336
P82930	65993
Q8IXY8	285755
Q8NFU5	253430
Q9H4S2	219409
Q695T7	340024
Q92890	7353
Q8N954	253635
Q5JTD0	93643
Q9H239	79148
O14757	1111
O95340	9060
Q8IX21	55719
O75443	7007
Q9NPI8	2188
Q9NX45	100526761
Q9NX45	54937
A1L020	92312
Q5J5C9	245934
Q86U38	161424
Q8IV42	118672
P48664	6511
Q12816	7216
Q86VW1	85413
Q9BUK6	55154
Q8NFI3	64772
Q5T9S5	343099
Q13822	5168
Q8NFU1	54831
O43781	8444
A6NET4	403277
Q9NNX9	51481
P23786	1376
O75843	8906
P57721	54039
Q9P206	57648
P20701	3683
Q12887	1352
Q05193	1759
O95622	111
Q8TAM6	57471
Q6NYC8	170954
A1L443	54754
Q15722	1241
Q6PD62	9646
P32242	5013
Q9BXB4	114885
Q9NPH9	55801
Q9NQ76	56955
Q3MJ13	256764
P24394	3566
Q9Y3M2	25776
P16499	5145
O14978	10127
Q9H944	9477
Q01831	7508
Q99638	5883
P13639	1938
Q07507	1805
Q3BBV0	55672
P62993	2885
O43868	9153
Q16819	4224
Q8N4B1	144717
Q9ULD4	27154
Q5VZF2	10150
Q15329	1875
P20849	1297
Q9Y2I8	22884
Q8NCS7	204962
P42772	1030
Q9UQ10	27294
Q8NFW1	169044
Q8N442	60558
A6NHY2	728780
P59046	91662
Q9Y294	25842
Q99683	4217
Q9Y530	221443
Q6MZP7	132660
Q9Y614	10880
Q8IUD2	23085
Q86VV4	202151
P28039	313
Q9BRS8	55323
Q15070	5018
P40939	3030
Q9C099	85444
Q16533	6617
Q5QJU3	340485
Q7Z7C7	346673
A5PLK6	353299
P51582	5030
Q9BVV2	79025
P26038	4478
Q01523	1670
Q9NY65	51807
P49207	6164
P49223	10816
Q9BS34	93474
P59095	147323
Q5TBB1	79621
P37268	2222
Q969U6	54461
P53985	6566
P30047	2644
P08118	4477
O15554	3783
Q5XKP0	125988
Q9UN79	9580
P49746	7059
Q9BXN2	64581
Q8IV31	135932
Q8N680	57621
P20336	5864
Q96ME1	80028
O60760	27306
Q9NVE7	55229
P19174	5335
Q8IZQ5	280636
Q9Y2D5	445815
Q9H6D8	64838
Q13153	5058
Q9H040	83932
Q96GD0	57026
P02675	2244
Q2VYF4	137994
Q3SYB3	653404
P01903	3122
Q96LR4	151647
A8MV65	389136
Q7Z5Q5	353497
Q70EL2	85015
P22626	3181
Q96CB9	387338
Q96CW6	84138
Q96AH0	64859
Q9NYV6	54700
O15442	758
Q15629	23471
Q96NB2	118980
Q02218	4967
Q86V71	353088
Q6ZWJ8	375616
Q5QGZ9	160364
Q68DH5	92255
Q5W186	128822
O15304	10572
P61812	7042
Q9C0H9	80725
O60573	9470
P42785	5547
Q96SQ9	29785
P19086	2781
Q96CU9	55572
Q8NEM8	340351
P82279	23418
P52756	10181
P20851	725
P27144	205
Q969R8	55846
Q13884	6641
Q6W2J9	54880
Q9H0B8	83716
Q9HBE4	59067
P06746	5423
Q9HBL0	7145
Q9C0A1	85446
Q14749	27232
Q96B54	126299
Q13123	3550
Q9Y6E0	8428
O94933	22865
Q2M1P5	374654
O00198	8739
Q6NT04	91151
Q9H079	79768
Q9HBA0	59341
Q5VTE6	90806
Q8IVE3	130271
Q01970	5331
O43186	1406
Q86X53	157697
Q8WV24	22822
Q93088	635
Q8NGH8	120793
P47874	4975
Q9Y678	22820
P12035	3850
Q6NXG1	54845
Q9HC07	55858
Q8TBE0	22893
Q92600	9125
P23471	5803
Q01668	776
Q6P996	23042
O14896	3664
Q9BYX2	55357
O60337	10299
P02686	4155
P04554	5620
Q5VTH9	79819
Q2I0M5	343637
O15050	9881
O95045	151531
Q8N961	25841
Q7L5A8	79152
Q9BW62	84056
Q8WZ55	7809
Q6NT52	114336
Q05925	2019
O15528	1594
Q8N0Y5	120586
Q9BY79	83552
Q969M2	84694
O00716	1871
Q99590	9169
Q9UQ52	27255
Q13077	7185
Q5JW98	221301
Q6AI14	389015
P25205	4172
Q8NGN3	390264
O60502	10724
Q01959	6531
Q8WW22	55466
P0C7X2	146542
Q96M60	196951
Q2M296	64779
Q86VV8	25914
Q8IZD9	1795
Q13207	6909
Q9UBY5	23566
P57088	55161
Q9Y2V0	84529
Q9Y639	27020
P61960	51569
Q6XE24	27303
Q8N7P3	53842
Q9NS73	51562
O43490	8842
Q9HD20	57130
Q49A26	84656
Q8NHQ1	80321
Q9NWK9	54680
Q9P0L1	55888
Q9NTU7	140689
Q8NB66	440279
Q8NHG8	223082
Q5VUA4	24149
Q9BQG1	84258
P03886	4535
Q9NV70	55763
Q9HC97	2859
Q96JY0	84944
Q7Z6M1	10244
Q8N7P1	200150
Q9UHI6	11218
P49662	837
Q5VU97	57685
P38935	3508
Q8NGL6	81328
Q9BZG8	1801
Q9NZW4	1834
Q8NEF3	153733
Q8TED9	134265
O75367	9555
O60353	8323
Q9NWM3	404093
Q969K4	80325
A6NF34	195977
Q8WUD4	151903
Q9Y2R5	51373
Q9H330	23731
P54852	2014
O94915	285527
Q96ES7	112869
P0CB33	730291
Q9NVE5	55230
O95865	23564
Q9NS67	2850
Q96SC8	63950
Q9UHF7	7227
Q9ULE3	27147
Q9NYF3	51307
Q8TDN4	91768
P02765	197
P00973	4938
Q9Y666	10723
Q5T7V8	92344
Q8NGC1	390439
Q969U7	56984
O76083	5152
Q9Y535	171568
Q9NWW9	54979
Q6P656	161502
Q99954	26952
P21266	2947
P60022	1672
Q6Q759	200162
Q12836	57829
P50148	2776
Q9NUQ3	55787
P98066	7130
Q6P9G9	203523
Q8NH73	219431
Q7RTY5	345062
P04278	6462
Q495Y8	441273
Q14258	7706
O14818	5688
Q8NHY3	246176
Q96DC7	55374
P01563	3440
Q53EL9	124925
Q86UD5	133308
O95848	256281
B6A8C7	441864
P19526	2523
Q8N2I9	83931
P62330	382
Q8IXQ8	255762
Q8NE31	220965
P41968	4159
Q86WK6	57463
Q8N2G8	84514
O00442	8634
O00512	607
Q5RI15	116228
O14646	1105
O60383	2661
P04628	7471
O95786	23586
A0A0B4J2D5	8209
O75396	9554
Q9BZ11	80332
Q9NTX7	81847
Q9GZN6	28968
O95150	9966
Q9H081	79003
Q9NXL9	254394
Q6UX41	79908
Q13131	5562
P15918	5896
O75874	3417
Q15149	5339
Q9HB89	10316
Q8NEG5	151112
Q9NWY4	54969
O15438	8714
P01210	5179
Q9NZJ6	51805
Q9P2W1	29893
Q8HWS3	222546
Q8NGV5	286365
Q86VY9	114801
O14744	10419
O94778	343
Q93009	7874
E9PQX1	100130348
Q4G0Z9	157777
Q10571	4330
Q8NG41	256933
P09093	10136
Q6IE81	79960
Q9NUN7	55331
O00299	1192
Q8WVE6	134285
Q9NWQ8	55824
P27539	2657
Q9UKU7	27034
A6NHX0	729438
Q8TB73	79625
A6NFQ7	503834
Q8NH05	441669
O75223	79017
P17017	7561
P47985	7386
P01100	2353
P82932	64968
Q8IWA4	55669
Q9UJW2	27283
Q9P242	57624
Q14332	2535
Q8NGN6	390265
P57053	102724334
Q92526	10693
P45844	9619
Q8IYW5	165918
Q9NXL2	54848
Q8WTS6	80854
Q9HCT0	27006
Q9NZM6	27039
A0A087X0D8	401551
P07477	5644
Q9BTE1	84516
Q9BPX7	79020
A0A0A6YYH1	100526783
O75618	9191
Q9UK13	7638
A6H8Y1	55814
P31273	3224
Q8N2A8	201164
A6NGE4	139425
Q5HYM0	340554
O60664	10226
Q9NR34	57134
Q02952	9590
O15357	3636
Q14541	3174
Q07325	4283
Q9BU02	79178
Q96N16	152789
Q15762	10666
Q8N7C0	440699
Q5VTT5	127294
O76021	26156
Q2VIQ3	285643
P00367	2746
P54826	2619
Q00535	1020
Q1MX18	387755
P52566	397
Q92794	7994
P22676	794
Q9UN75	56137
Q9Y5I7	10686
Q96CP2	114984
Q96DZ7	116211
P17861	7494
O00423	2009
H8Y6P7	145781
P35789	81931
O75923	8291
Q01813	5214
O43593	55806
Q4G148	283464
Q13472	7156
Q96LR2	541468
Q9UID6	51193
Q6DHV7	161823
P35462	1814
P36873	5501
Q7Z7J5	151871
O00267	6829
Q12798	1068
Q96LU7	196446
Q969M1	84134
Q8WXI4	26027
Q9H6U8	79796
O76061	8614
Q8TAT2	143282
Q9H082	83452
Q58EX2	54549
Q9Y485	1657
Q9Y3C5	26994
O43427	9158
Q7L1S5	83539
P36957	1743
P52179	8736
Q9BUL9	54913
Q7L5A3	80256
A0A0A0MQY9	11202
A2RU30	9840
O95104	57466
O60688	29799
Q5R372	9910
Q9Y693	10186
O00233	5715
Q9P296	27202
Q8NBK3	285362
A6NGK3	102724473
O43504	10542
Q9H3R2	56667
Q6NUP7	57718
Q12864	1015
Q96LK0	84984
P50238	1396
Q08345	780
P58340	4291
Q8TAV4	161003
Q9UKA1	26234
P48544	3762
P17098	7554
Q9UDX4	266629
P28072	5694
Q8WWA1	55287
Q6P0Q8	23139
Q9BQD7	65990
Q96I34	84988
Q8TBP5	345757
Q92833	3720
Q9Y6D0	58515
Q9C0B6	57795
O96013	10298
O94844	9886
Q9UHR5	29115
P29372	4350
P58418	7401
Q9Y6A9	28972
O75592	23077
Q68DV7	54894
P49019	8843
P56749	9069
Q9NY57	55351
Q6ZNG9	124751
P13385	6997
P82921	54460
Q13393	5337
Q96JK4	84439
O60443	1687
O60234	9535
Q8N6U8	23432
Q9P032	29078
Q9NPC4	53947
Q9H173	64374
O15091	9692
Q14410	2712
Q96M20	140894
P55263	132
P18583	6651
Q9NVI1	55215
Q16281	1261
P30301	4284
Q96JM7	84456
Q6ZPD9	147991
Q9BUV8	55969
A4D2P6	392862
Q9UHD1	26973
Q9Y5A6	7589
P04150	2908
Q9NQW6	54443
Q5VX71	55061
A6NNM3	440804
Q5VTL8	55119
Q9UPT6	23162
Q68CR7	339977
Q9H2P9	51611
Q7L273	54793
Q5T5D7	127396
P10826	5915
O95069	3776
Q8NA57	160419
Q8WTR8	126147
P15531	4830
O95715	9547
P26599	5725
Q02543	6142
Q02040	8227
Q5BKU9	339229
O14521	6392
Q8IWE4	123879
P47887	8388
Q8TD26	84181
P62508	2104
P85037	221937
Q8NGS9	392376
Q9NQX7	81618
Q86YL5	157695
Q5KSL6	139189
Q5U623	80063
Q8NH90	390181
P29084	2961
Q15363	10959
P48444	372
P17010	7543
Q96EC8	286451
P02766	7276
P05452	7123
Q8TF50	116115
O60292	23094
Q06830	5052
Q9H6K5	80164
Q6ZT21	643853
Q6ZNF0	390928
Q8IWW6	94134
P62834	5906
Q9NR82	56479
P43366	4112
Q08117	166
P51826	3899
H3BQB6	401236
O14786	8829
O75452	8608
Q5T6V5	84267
Q9H1M0	54830
Q96MC5	89927
P24723	5583
Q96P47	116988
P0CI01	729597
Q7Z7H3	375307
Q16658	6624
Q8N6Q1	145942
Q86VM9	124245
Q8NFT8	92737
Q16378	11272
Q6IV72	155054
A6NLC5	285382
Q96NR8	145226
P02652	336
Q9P2E3	57169
Q96NX5	57172
Q15434	5939
Q9BVH7	81849
A8MTA8	730112
P03952	3818
Q99999	9514
Q96RJ6	222894
Q86XE5	112817
O94856	23114
A8MQ03	375791
P08670	7431
Q3LHN2	337969
Q13568	3663
P19876	2921
P02787	7018
Q9Y219	3714
Q9HD45	56889
Q66K14	23061
P51587	675
A1L162	285141
Q08629	6695
Q9UI95	10459
P42679	4145
Q8TC84	92565
A8MXT2	645864
Q96EP9	201780
Q8IUC2	337879
P51451	640
Q30KQ5	245929
Q8N5J4	121599
Q9P260	57614
Q6P1N9	83940
O60721	9187
P48058	2893
P41439	2352
Q6ZNW5	390637
Q9GZL7	55759
Q9UKJ5	26511
Q8WWZ4	10349
Q6ZRS2	10847
P20645	4074
Q9NVV9	55145
A0A087X1G2	101060351
Q9UJL9	65243
A1L429	100132399
A1L429	729422
A1L429	729428
A1L429	729431
P23919	1841
Q9BSH3	84276
Q86YT5	284111
Q9NXI6	54546
Q8WTR2	142679
Q5T1H1	346007
Q8IWT0	339487
Q96M32	122481
Q8NGH7	338751
Q3B8N2	284194
Q96PR1	3747
Q9UHM6	94233
Q71UI9	94239
P15289	410
Q9NUG6	81572
Q9UKF7	26207
Q5NDL2	285203
P05230	2246
Q96GC6	10782
Q92508	9780
P10276	5914
Q8NG06	25893
Q9Y478	5564
P41225	6658
Q9H2W2	83881
Q9Y6L6	10599
Q86U42	8106
Q96KG7	84466
P28370	6594
Q8IUC4	85415
Q96PF1	116179
Q969M3	81555
Q15652	221037
Q9GZU8	80011
P08686	1589
Q9H427	60598
O75061	9829
Q1ED39	400506
P27797	811
A0A087WWS6	3447
P47898	3361
P59901	23547
P13688	634
Q2YD98	57654
O75096	4038
Q7Z6L1	25851
O95813	9350
P09132	6728
A0A087WTJ2	100527949
Q96NJ3	26974
Q9H9Y6	84172
O43399	7165
Q9H6L2	79583
Q86VH2	55582
Q9H2B2	6860
P07288	354
Q9H3M7	10628
Q9P255	57615
P06576	506
Q99743	4862
Q01118	6332
P49591	6301
Q8NH59	390061
Q9NRC8	51547
Q8IYD8	57697
Q6UXU4	146395
Q9P2J8	57547
Q9H0W8	56006
O75830	5276
P22310	54657
P52926	8091
P83731	6152
P49257	3998
Q9Y272	51655
Q9NVS9	55163
Q8WWV3	84816
P56748	9073
P12319	2205
Q8IYT1	149647
O14627	1046
Q9NX94	54838
O95932	343641
Q9H9Y4	54707
Q96DN5	93594
Q96NZ1	121643
P08922	6098
Q9UL46	5721
P49639	3198
Q9NP94	29986
Q9H5I5	63895
O15062	9925
O75173	9507
Q5T8I3	284611
Q9UK59	51163
Q9UM11	51343
O60264	8467
P14060	3283
Q5JV73	84443
P18858	3978
Q96C19	79180
Q8IWD4	150275
Q9NZL3	7767
P01106	4609
P18859	522
Q06730	7581
P49247	22934
Q8NGF3	390038
O94766	26229
Q96HY6	65992
Q9NR19	55902
Q92989	10978
P0C024	283927
O60318	8888
Q8N0U2	199964
Q6V1X1	54878
P49760	1196
Q96D05	219738
Q9Y4D7	23129
Q9Y3Y4	26108
Q6NSJ0	57462
Q9Y6Q5	10053
P23560	627
Q9BZR8	79370
Q7RTW8	146183
Q8NEW0	148867
B3EWG3	100133093
B3EWG3	643161
B3EWG3	644054
P23415	2741
P57682	51274
Q8NA42	163087
Q15800	6307
P78347	2969
Q96HT8	114932
O00515	3898
Q8NGT1	26248
Q7Z4H3	51020
Q9HCK8	57680
P34741	6383
Q9Y5Q5	10699
Q6IQ20	222236
Q8N3S3	57157
Q6UVY6	26002
Q8WUW1	55845
P30154	5519
Q9Y243	10000
P08574	1537
Q86U10	374569
Q9NY59	55512
Q86X40	123355
Q5I0X4	441150
P53567	1054
Q8TB72	23369
Q13023	9472
Q08379	2801
Q96T68	83852
P22033	4594
Q6UX27	284415
Q96P50	116983
Q96K21	84936
P41743	5584
P09543	1267
Q8N6G5	55454
Q9H825	79828
Q96BM1	122416
Q8IW03	283514
Q6ZN84	60494
Q9NQT5	51010
Q14964	54734
O43869	26696
Q96JN0	84458
P49354	2339
Q9UJT9	23194
P26717	3822
Q9BTV6	92715
Q9HB65	80237
P61204	377
Q13137	10241
Q5JTY5	445571
Q9P212	51196
P05165	5095
Q9UJP4	9903
P21281	526
P49674	102800317
P49674	1454
P22681	867
Q9UJY4	23062
Q9NX07	54952
Q502X0	729967
P61296	9464
P55145	7873
Q9Y2Y4	27033
Q3SXM5	83693
Q6P9B9	80789
Q96A37	115992
Q9UJ96	26251
P61978	3190
Q96NT0	84317
Q6ZN57	80108
P01225	2488
O15492	6004
P49748	37
Q8NFT2	261729
P78352	1742
Q9P2X0	54344
G3XAA5	51643
Q13319	8941
A6NIV6	344657
A2RTY3	256957
Q8NEY1	89796
Q6XE38	404552
Q86UE8	11011
Q9Y2G1	745
A1L0T0	10994
P05549	7020
Q2UY09	340267
Q9NYS7	55884
P61619	29927
Q9H3U5	64747
Q8NFN8	165829
Q9NR61	54567
Q6UXG3	146894
Q9GZT6	60492
O76071	9391
Q96D21	23551
P05305	1906
Q9UNW9	4858
P08311	1511
P09237	4316
O75417	10721
Q66PJ3	51329
Q9UBT3	27121
Q8N488	23429
Q9UNE0	10913
P51687	6821
Q9Y577	51127
O95711	9450
Q8WWY8	200879
Q92730	27289
Q5SZK8	341640
P02730	6521
O00231	5717
Q13895	705
Q5T890	375748
Q9H347	50613
Q9Y6X9	22880
Q6BCY4	51700
O95298	4718
Q86V88	145553
O75409	25763
O60437	5493
Q6IQ22	201475
A6NFD8	391723
P46779	6158
Q8TC94	284382
Q9P0L2	4139
P16619	414062
P16619	6349
P11055	4621
Q6P589	79626
Q9NVD3	54093
Q9H5Z1	60625
Q9ULC3	51715
Q6P9F7	23507
Q96L21	140801
Q9NZR2	53353
Q8IX01	10147
P30550	2925
Q6UY11	65989
Q8TAX7	4589
Q14956	10457
Q76EJ3	11046
P17677	2596
O75648	55687
Q9NWV8	29086
Q8IUR7	25852
Q5VZL5	9202
O43462	51360
Q6ZMS4	285346
A6H8Z2	392307
Q9NS75	57105
Q5U3C3	84187
Q8NFJ8	27319
Q9H426	140730
Q5T848	57512
Q8IYF1	51224
Q86UR5	22999
Q8IZC4	219790
P69849	408050
O75794	8872
P38432	8161
P11388	7153
Q15438	9267
Q8NA72	134359
P02461	1281
Q7Z7K2	168544
A4D1S0	346689
Q9BUB7	54968
P08637	2214
Q8IV77	1262
Q96KC8	64215
O75324	8303
P56817	23621
Q96CC6	64285
Q6GMV3	391356
Q8TAI7	121268
P53816	11145
O95793	6780
Q8TEM1	23225
O95249	9527
Q2M2I3	54854
Q6IPT4	606495
O43272	5625
Q9H8S9	55233
O43150	8853
Q8NGI0	390077
Q96GQ7	55661
P0DJD0	400966
Q12857	4774
Q9NSI2	85395
P28676	25801
Q8N4N3	79786
Q9Y4A0	8690
Q6ZS72	374872
O43497	8913
Q8NFT6	80174
P28221	3352
Q16322	3744
Q8N8F7	286006
Q9Y278	9956
P42658	1804
Q9H6T0	80004
Q9NX04	54955
P10070	2736
Q9Y6U3	85477
P22914	1427
Q96B01	10635
Q7L1I2	9899
Q96AA8	9832
Q8N0Z6	91875
A6NH21	619189
Q96HQ2	91368
Q96LT6	148304
O75900	8510
P0CE71	4951
O75164	9682
O14862	9447
P22888	3973
Q08050	2305
O60303	23247
A0A0A0MR89	9369
Q7RTR0	338321
P51608	4204
Q9Y5U9	51124
P00918	760
Q96S97	91663
Q8WVV5	10385
A0A0A6YYL4	100529144
Q9H2C5	390054
Q52MB2	387856
Q9H3K6	552900
Q9H3K6	654483
Q9UN72	56141
Q9Y263	9373
P08567	5341
Q9ULU8	8618
Q6UX71	84898
P07098	8513
Q6NSJ5	80131
Q5T5U3	57584
Q9Y5Q0	3995
A4D126	729920
Q99719	5413
Q8IX19	199675
Q9H6A9	399909
Q8IZ21	65979
Q6Q6R5	401262
P11277	6710
Q86UK5	132884
D6RCP7	100287404
Q9UNL4	51147
Q5TIA1	150365
Q9UG56	23761
P35453	3239
Q8NC24	285613
P23526	191
Q96LR5	7325
O43609	10252
O94829	9670
O00755	7476
P30304	993
P35568	3667
Q8IU68	147138
Q9BY14	83639
Q9UJ14	2686
Q9UBX0	8820
P82664	55173
